date,state,demand
2022-01-01,Karnataka,11404.0
2022-01-02,Karnataka,10742.0
2022-01-03,Karnataka,11539.0
2022-01-04,Karnataka,12048.0
2022-01-05,Karnataka,11711.0
2022-01-06,Karnataka,12455.0
2022-01-07,Karnataka,12565.0
2022-01-08,Karnataka,12759.0
2022-01-09,Karnataka,11531.0
2022-01-10,Karnataka,12171.0
2022-01-11,Karnataka,12531.0
2022-01-12,Karnataka,12376.0
2022-01-13,Karnataka,12461.0
2022-01-14,Karnataka,13080.0
2022-01-15,Karnataka,12439.0
2022-01-16,Karnataka,11135.0
2022-01-17,Karnataka,12672.0
2022-01-18,Karnataka,12229.0
2022-01-19,Karnataka,12624.0
2022-01-20,Karnataka,13112.0
2022-01-21,Karnataka,13328.0
2022-01-22,Karnataka,13088.0
2022-01-23,Karnataka,12080.0
2022-01-24,Karnataka,13581.0
2022-01-25,Karnataka,13340.0
2022-01-26,Karnataka,12482.0
2022-01-27,Karnataka,13100.0
2022-01-28,Karnataka,13482.0
2022-01-29,Karnataka,13223.0
2022-01-30,Karnataka,13100.0
2022-01-31,Karnataka,13368.0
2022-02-01,Karnataka,13065.0
2022-02-02,Karnataka,13428.0
2022-02-03,Karnataka,13418.0
2022-02-04,Karnataka,13100.0
2022-02-05,Karnataka,13219.0
2022-02-06,Karnataka,12707.0
2022-02-07,Karnataka,13560.0
2022-02-08,Karnataka,13309.0
2022-02-09,Karnataka,13390.0
2022-02-10,Karnataka,13437.0
2022-02-11,Karnataka,13498.0
2022-02-12,Karnataka,13702.0
2022-02-13,Karnataka,13185.0
2022-02-14,Karnataka,13814.0
2022-02-15,Karnataka,14142.0
2022-02-16,Karnataka,13833.0
2022-02-17,Karnataka,13856.0
2022-02-18,Karnataka,13912.0
2022-02-19,Karnataka,13828.0
2022-02-20,Karnataka,13323.0
2022-02-21,Karnataka,14311.0
2022-02-22,Karnataka,14309.0
2022-02-23,Karnataka,14196.0
2022-02-24,Karnataka,14333.0
2022-02-25,Karnataka,14674.0
2022-02-26,Karnataka,14210.0
2022-02-27,Karnataka,13826.0
2022-02-28,Karnataka,14421.0
2022-03-01,Karnataka,14759.0
2022-03-02,Karnataka,14124.0
2022-03-03,Karnataka,13882.0
2022-03-04,Karnataka,14180.0
2022-03-05,Karnataka,14292.0
2022-03-06,Karnataka,13497.0
2022-03-07,Karnataka,14252.0
2022-03-08,Karnataka,14039.0
2022-03-09,Karnataka,14370.0
2022-03-10,Karnataka,14605.0
2022-03-11,Karnataka,14541.0
2022-03-12,Karnataka,14364.0
2022-03-13,Karnataka,13191.0
2022-03-14,Karnataka,14497.0
2022-03-15,Karnataka,14238.0
2022-03-16,Karnataka,14433.0
2022-03-17,Karnataka,14797.0
2022-03-18,Karnataka,14818.0
2022-03-19,Karnataka,14216.0
2022-03-20,Karnataka,12402.0
2022-03-21,Karnataka,13660.0
2022-03-22,Karnataka,13125.0
2022-03-23,Karnataka,13699.0
2022-03-24,Karnataka,13360.0
2022-03-25,Karnataka,13260.0
2022-03-26,Karnataka,13137.0
2022-03-27,Karnataka,12624.0
2022-03-28,Karnataka,13761.0
2022-03-29,Karnataka,13948.0
2022-03-30,Karnataka,14209.0
2022-03-31,Karnataka,13875.0
2022-04-01,Karnataka,14465.0
2022-04-02,Karnataka,13463.0
2022-04-03,Karnataka,12851.0
2022-04-04,Karnataka,14197.0
2022-04-05,Karnataka,14199.0
2022-04-06,Karnataka,14175.0
2022-04-07,Karnataka,14542.0
2022-04-08,Karnataka,14725.0
