valid_time,lead_hours,run_lead_hours,observed_c,persistence_c,yesterday_c,ecmwf_ifs_c,scored
2025-07-01 07:00:00+00:00,1,7,29.0000,29.0000,32.0000,31.6000,True
2025-07-01 08:00:00+00:00,2,8,30.0000,29.0000,33.0000,31.9000,True
2025-07-01 09:00:00+00:00,3,9,31.0000,29.0000,32.0000,31.4000,True
2025-07-01 10:00:00+00:00,4,10,31.0000,29.0000,30.0000,28.0000,True
2025-07-01 11:00:00+00:00,5,11,31.0000,29.0000,31.0000,28.4000,True
2025-07-01 12:00:00+00:00,6,12,31.0000,29.0000,30.0000,28.4000,True
2025-07-01 13:00:00+00:00,7,13,30.0000,29.0000,30.0000,28.0000,True
2025-07-01 14:00:00+00:00,8,14,30.0000,29.0000,29.0000,27.9000,True
2025-07-01 15:00:00+00:00,9,15,29.0000,29.0000,29.0000,27.0000,True
2025-07-01 16:00:00+00:00,10,16,29.0000,29.0000,29.0000,26.8000,True
2025-07-01 17:00:00+00:00,11,17,29.0000,29.0000,29.0000,25.9000,True
2025-07-01 18:00:00+00:00,12,18,28.0000,29.0000,28.0000,26.1000,True
2025-07-01 19:00:00+00:00,13,19,28.0000,29.0000,28.0000,26.0000,True
2025-07-01 20:00:00+00:00,14,20,28.0000,29.0000,28.0000,26.0000,True
2025-07-01 21:00:00+00:00,15,21,28.0000,29.0000,28.0000,25.8000,True
2025-07-01 22:00:00+00:00,16,22,28.0000,29.0000,28.0000,25.7000,True
2025-07-01 23:00:00+00:00,17,23,28.0000,29.0000,28.0000,25.7000,True
2025-07-02 00:00:00+00:00,18,24,28.0000,29.0000,28.0000,26.0000,True
2025-07-02 01:00:00+00:00,19,25,28.0000,29.0000,29.0000,26.7000,True
2025-07-02 02:00:00+00:00,20,26,27.0000,29.0000,29.0000,27.4000,True
2025-07-02 03:00:00+00:00,21,27,28.0000,29.0000,30.0000,28.8000,True
2025-07-02 04:00:00+00:00,22,28,28.0000,29.0000,28.0000,29.8000,True
2025-07-02 05:00:00+00:00,23,29,28.0000,29.0000,29.0000,30.7000,True
2025-07-02 06:00:00+00:00,24,30,30.0000,29.0000,29.0000,31.0000,True
2025-07-02 07:00:00+00:00,25,31,30.0000,29.0000,32.0000,31.9000,True
2025-07-02 08:00:00+00:00,26,32,31.0000,29.0000,33.0000,32.6000,True
2025-07-02 09:00:00+00:00,27,33,31.0000,29.0000,32.0000,31.1000,True
2025-07-02 10:00:00+00:00,28,34,31.0000,29.0000,30.0000,28.9000,True
2025-07-02 11:00:00+00:00,29,35,31.0000,29.0000,31.0000,28.5000,True
2025-07-02 12:00:00+00:00,30,36,31.0000,29.0000,30.0000,28.4000,True
2025-07-02 13:00:00+00:00,31,37,30.0000,29.0000,30.0000,27.8000,True
2025-07-02 14:00:00+00:00,32,38,29.0000,29.0000,29.0000,27.6000,True
2025-07-02 15:00:00+00:00,33,39,29.0000,29.0000,29.0000,27.3000,True
2025-07-02 16:00:00+00:00,34,40,29.0000,29.0000,29.0000,26.9000,True
2025-07-02 17:00:00+00:00,35,41,29.0000,29.0000,29.0000,26.0000,True
2025-07-02 18:00:00+00:00,36,42,28.0000,29.0000,28.0000,26.2000,True
2025-07-02 19:00:00+00:00,37,43,28.0000,29.0000,28.0000,26.0000,True
2025-07-02 20:00:00+00:00,38,44,28.0000,29.0000,28.0000,25.9000,True
2025-07-02 21:00:00+00:00,39,45,26.0000,29.0000,28.0000,26.0000,True
2025-07-02 22:00:00+00:00,40,46,26.0000,29.0000,28.0000,25.9000,True
2025-07-02 23:00:00+00:00,41,47,27.0000,29.0000,28.0000,25.3000,True
2025-07-03 00:00:00+00:00,42,48,27.0000,29.0000,28.0000,25.7000,True
2025-07-03 01:00:00+00:00,43,49,27.0000,29.0000,29.0000,26.3000,True
2025-07-03 02:00:00+00:00,44,50,28.0000,29.0000,29.0000,27.0000,True
2025-07-03 03:00:00+00:00,45,51,29.0000,29.0000,30.0000,27.6000,True
2025-07-03 04:00:00+00:00,46,52,30.0000,29.0000,28.0000,28.0000,True
2025-07-03 05:00:00+00:00,47,53,31.0000,29.0000,29.0000,28.9000,True
2025-07-03 06:00:00+00:00,48,54,31.0000,29.0000,29.0000,30.2000,True
