split,origin,run,status,reason,detail,history_observed_hours,history_missing_hours,previous_day_missing_hours,target_observed_hours,max_source_age_hours
development,2025-06-01 06:00:00+00:00,2025-06-01 00:00:00+00:00,eligible,,,654,18,0,47,2.0
development,2025-06-03 06:00:00+00:00,2025-06-03 00:00:00+00:00,data_rejected,incomplete_previous_day,,653,19,1,45,2.0
development,2025-06-05 06:00:00+00:00,2025-06-05 00:00:00+00:00,data_rejected,incomplete_previous_day,,652,20,3,44,2.0
development,2025-06-07 06:00:00+00:00,2025-06-07 00:00:00+00:00,data_rejected,incomplete_previous_day,,648,24,4,42,2.0
development,2025-06-09 06:00:00+00:00,2025-06-09 00:00:00+00:00,data_rejected,incomplete_previous_day,,643,29,6,43,4.0
development,2025-06-11 06:00:00+00:00,2025-06-11 00:00:00+00:00,data_rejected,incomplete_previous_day,,642,30,1,41,4.0
development,2025-06-13 06:00:00+00:00,2025-06-13 00:00:00+00:00,data_rejected,incomplete_previous_day,,637,35,1,46,6.0
development,2025-06-15 06:00:00+00:00,2025-06-15 00:00:00+00:00,data_rejected,history_policy,History has a leading gap or a gap longer than 6 hours,636,36,0,46,
development,2025-06-17 06:00:00+00:00,2025-06-17 00:00:00+00:00,data_rejected,incomplete_previous_day,,635,37,1,44,6.0
development,2025-06-19 06:00:00+00:00,2025-06-19 00:00:00+00:00,data_rejected,incomplete_previous_day,,631,41,4,48,6.0
development,2025-06-21 06:00:00+00:00,2025-06-21 00:00:00+00:00,eligible,,,633,39,0,46,6.0
development,2025-06-23 06:00:00+00:00,2025-06-23 00:00:00+00:00,data_rejected,incomplete_previous_day,,632,40,1,48,6.0
development,2025-06-25 06:00:00+00:00,2025-06-25 00:00:00+00:00,eligible,,,636,36,0,47,6.0
development,2025-06-27 06:00:00+00:00,2025-06-27 00:00:00+00:00,data_rejected,incomplete_previous_day,,635,37,1,48,6.0
holdout,2025-07-05 06:00:00+00:00,2025-07-05 00:00:00+00:00,data_rejected,incomplete_previous_day,,638,34,4,48,6.0
holdout,2025-07-07 06:00:00+00:00,2025-07-07 00:00:00+00:00,eligible,,,644,28,0,48,6.0
holdout,2025-07-09 06:00:00+00:00,2025-07-09 00:00:00+00:00,eligible,,,649,23,0,47,6.0
holdout,2025-07-11 06:00:00+00:00,2025-07-11 00:00:00+00:00,data_rejected,incomplete_previous_day,,655,17,1,48,4.0
holdout,2025-07-13 06:00:00+00:00,2025-07-13 00:00:00+00:00,eligible,,,657,15,0,46,4.0
holdout,2025-07-15 06:00:00+00:00,2025-07-15 00:00:00+00:00,data_rejected,incomplete_previous_day,,657,15,1,46,4.0
holdout,2025-07-17 06:00:00+00:00,2025-07-17 00:00:00+00:00,data_rejected,incomplete_previous_day,,659,13,1,48,3.0
holdout,2025-07-19 06:00:00+00:00,2025-07-19 00:00:00+00:00,eligible,,,659,13,0,40,3.0
holdout,2025-07-21 06:00:00+00:00,2025-07-21 00:00:00+00:00,data_rejected,history_policy;incomplete_previous_day,History has a leading gap or a gap longer than 6 hours,653,19,7,47,
holdout,2025-07-23 06:00:00+00:00,2025-07-23 00:00:00+00:00,data_rejected,history_policy;incomplete_previous_day,History has a leading gap or a gap longer than 6 hours,652,20,1,47,
holdout,2025-07-25 06:00:00+00:00,2025-07-25 00:00:00+00:00,data_rejected,history_policy;incomplete_previous_day,History has a leading gap or a gap longer than 6 hours,652,20,1,48,
holdout,2025-07-27 06:00:00+00:00,2025-07-27 00:00:00+00:00,data_rejected,history_policy,History has a leading gap or a gap longer than 6 hours,652,20,0,43,
holdout,2025-07-29 06:00:00+00:00,2025-07-29 00:00:00+00:00,data_rejected,history_policy;incomplete_previous_day,History has a leading gap or a gap longer than 6 hours,648,24,5,48,
holdout,2025-07-31 06:00:00+00:00,2025-07-31 00:00:00+00:00,data_rejected,history_policy,History has a leading gap or a gap longer than 6 hours,648,24,0,48,
holdout,2025-08-02 06:00:00+00:00,2025-08-02 00:00:00+00:00,data_rejected,history_policy,History has a leading gap or a gap longer than 6 hours,652,20,0,48,
holdout,2025-08-04 06:00:00+00:00,2025-08-04 00:00:00+00:00,data_rejected,history_policy,History has a leading gap or a gap longer than 6 hours,652,20,0,47,
holdout,2025-08-06 06:00:00+00:00,2025-08-06 00:00:00+00:00,data_rejected,history_policy;incomplete_previous_day,History has a leading gap or a gap longer than 6 hours,651,21,1,47,
holdout,2025-08-08 06:00:00+00:00,2025-08-08 00:00:00+00:00,data_rejected,history_policy;incomplete_previous_day,History has a leading gap or a gap longer than 6 hours,651,21,1,47,
holdout,2025-08-10 06:00:00+00:00,2025-08-10 00:00:00+00:00,data_rejected,history_policy,History has a leading gap or a gap longer than 6 hours,650,22,0,48,
holdout,2025-08-12 06:00:00+00:00,2025-08-12 00:00:00+00:00,data_rejected,history_policy,History has a leading gap or a gap longer than 6 hours,652,20,0,48,
holdout,2025-08-14 06:00:00+00:00,2025-08-14 00:00:00+00:00,data_rejected,history_policy,History has a leading gap or a gap longer than 6 hours,654,18,0,48,
holdout,2025-08-16 06:00:00+00:00,2025-08-16 00:00:00+00:00,data_rejected,history_policy,History has a leading gap or a gap longer than 6 hours,654,18,0,48,
holdout,2025-08-18 06:00:00+00:00,2025-08-18 00:00:00+00:00,eligible,,,662,10,0,46,3.0
holdout,2025-08-20 06:00:00+00:00,2025-08-20 00:00:00+00:00,data_rejected,incomplete_previous_day,,661,11,2,47,3.0
holdout,2025-08-22 06:00:00+00:00,2025-08-22 00:00:00+00:00,data_rejected,incomplete_previous_day,,661,11,1,45,3.0
