lead_start,lead_end,method,n,mae_c,rmse_c,bias_c
1,6,persistence_c,18,1.6111111111111112,1.8708286933869707,-0.9444444444444444
1,6,yesterday_c,18,2.1666666666666665,2.438123139721299,-1.5
1,6,ecmwf_ifs_c,18,1.2666666666666666,1.6401219466856725,0.11111111111111091
1,6,timesfm_c,18,1.0462941063774958,1.4278123867731622,-0.3846961127387153
7,24,persistence_c,53,2.018867924528302,2.3189132132458163,1.7169811320754718
7,24,yesterday_c,53,1.3396226415094339,1.6194571650506728,-0.6981132075471698
7,24,ecmwf_ifs_c,53,1.5358490566037735,1.8300427874160716,-1.0566037735849054
7,24,timesfm_c,53,1.128265380859375,1.2648572252501136,-0.42119144943525205
25,48,persistence_c,69,1.9565217391304348,2.33747045242117,1.289855072463768
25,48,yesterday_c,69,1.3768115942028984,1.7236631030319187,-0.7101449275362319
25,48,ecmwf_ifs_c,69,1.8449275362318842,2.196208854670551,-0.8768115942028986
25,48,timesfm_c,69,0.9731142071710117,1.2007591165259373,-0.035794548366380775
