split,origin,run,status,reason,detail,history_observed_hours,history_missing_hours,previous_day_missing_hours,target_observed_hours,max_source_age_hours,scored_hours
development,2025-06-01 06:00:00+00:00,2025-06-01 00:00:00+00:00,scored,,,654,18,0,47,2.0,47
development,2025-06-03 06:00:00+00:00,2025-06-03 00:00:00+00:00,data_rejected,incomplete_previous_day,,653,19,1,45,2.0,0
development,2025-06-05 06:00:00+00:00,2025-06-05 00:00:00+00:00,data_rejected,incomplete_previous_day,,652,20,3,44,2.0,0
development,2025-06-07 06:00:00+00:00,2025-06-07 00:00:00+00:00,data_rejected,incomplete_previous_day,,648,24,4,42,2.0,0
development,2025-06-09 06:00:00+00:00,2025-06-09 00:00:00+00:00,data_rejected,incomplete_previous_day,,643,29,6,43,4.0,0
development,2025-06-11 06:00:00+00:00,2025-06-11 00:00:00+00:00,data_rejected,incomplete_previous_day,,642,30,1,41,4.0,0
development,2025-06-13 06:00:00+00:00,2025-06-13 00:00:00+00:00,data_rejected,incomplete_previous_day,,637,35,1,46,6.0,0
development,2025-06-15 06:00:00+00:00,2025-06-15 00:00:00+00:00,data_rejected,history_policy,History has a leading gap or a gap longer than 6 hours,636,36,0,46,,0
development,2025-06-17 06:00:00+00:00,2025-06-17 00:00:00+00:00,data_rejected,incomplete_previous_day,,635,37,1,44,6.0,0
development,2025-06-19 06:00:00+00:00,2025-06-19 00:00:00+00:00,data_rejected,incomplete_previous_day,,631,41,4,48,6.0,0
development,2025-06-21 06:00:00+00:00,2025-06-21 00:00:00+00:00,scored,,,633,39,0,46,6.0,46
development,2025-06-23 06:00:00+00:00,2025-06-23 00:00:00+00:00,data_rejected,incomplete_previous_day,,632,40,1,48,6.0,0
development,2025-06-25 06:00:00+00:00,2025-06-25 00:00:00+00:00,scored,,,636,36,0,47,6.0,47
development,2025-06-27 06:00:00+00:00,2025-06-27 00:00:00+00:00,data_rejected,incomplete_previous_day,,635,37,1,48,6.0,0
