lead_hours,method,n,mae_c,rmse_c,bias_c
1,persistence_c,3,1.0,1.0,-1.0
1,yesterday_c,3,2.0,2.160246899469287,-2.0
1,ecmwf_ifs_c,3,0.9333333333333323,0.9345230512584115,0.2666666666666657
1,timesfm_c,3,0.4608987172444661,0.46468582906862366,-0.4608987172444661
2,persistence_c,3,1.3333333333333333,1.4142135623730951,-1.3333333333333333
2,yesterday_c,3,1.6666666666666667,1.7320508075688772,-1.6666666666666667
2,ecmwf_ifs_c,3,1.4666666666666675,1.5769168230019839,0.06666666666666643
2,timesfm_c,3,0.4205156962076823,0.6448528731248455,-0.41706212361653644
3,persistence_c,3,2.0,2.160246899469287,-2.0
3,yesterday_c,3,2.3333333333333335,2.3804761428476167,-2.3333333333333335
3,ecmwf_ifs_c,3,1.7000000000000004,2.251666049839541,-0.7000000000000005
3,timesfm_c,3,0.974358876546224,1.2981499059980752,-0.974358876546224
4,persistence_c,3,2.0,2.160246899469287,-2.0
4,yesterday_c,3,2.0,2.160246899469287,-2.0
4,ecmwf_ifs_c,3,1.366666666666666,1.8876793513023686,-0.7666666666666669
4,timesfm_c,3,1.1560745239257812,1.4104581214298926,-1.1560745239257812
5,persistence_c,3,1.6666666666666667,1.7320508075688772,-0.3333333333333333
5,yesterday_c,3,2.3333333333333335,2.6457513110645907,-1.0
5,ecmwf_ifs_c,3,0.6666666666666679,0.8906926143924927,0.6666666666666679
5,timesfm_c,3,1.4865392049153645,1.5915764042809568,0.014695485432942709
6,persistence_c,3,1.6666666666666667,2.3804761428476167,1.0
6,yesterday_c,3,2.6666666666666665,3.265986323710904,0.0
6,ecmwf_ifs_c,3,1.4666666666666661,1.8312108926427157,1.1333333333333329
6,timesfm_c,3,1.7793776194254558,2.322158560867115,0.6855220794677734
7,persistence_c,3,1.0,1.7320508075688772,1.0
7,yesterday_c,3,1.6666666666666667,2.0816659994661326,-0.3333333333333333
7,ecmwf_ifs_c,3,0.6666666666666655,0.6976149845485439,-0.06666666666666643
7,timesfm_c,3,1.2656904856363933,1.3851590277657564,0.08050982157389323
8,persistence_c,3,1.6666666666666667,1.9148542155126762,1.6666666666666667
8,yesterday_c,3,1.3333333333333333,1.632993161855452,0.0
8,ecmwf_ifs_c,3,0.6666666666666666,0.9128709291752769,-0.3333333333333333
8,timesfm_c,3,0.7776470184326172,0.9402067258472379,0.21849759419759116
9,persistence_c,3,1.6666666666666667,1.9148542155126762,1.6666666666666667
9,yesterday_c,3,1.0,1.2909944487358056,-0.3333333333333333
9,ecmwf_ifs_c,3,1.2333333333333343,1.567375726067834,-0.9000000000000009
9,timesfm_c,3,0.8846022288004557,0.9061093827900589,-0.16832796732584634
10,persistence_c,3,1.6666666666666667,1.9148542155126762,1.6666666666666667
10,yesterday_c,3,1.0,1.2909944487358056,-0.3333333333333333
10,ecmwf_ifs_c,3,1.3999999999999997,1.829389697868299,-1.2666666666666668
10,timesfm_c,3,0.9965464274088541,1.009612691653529,-0.41108449300130206
11,persistence_c,3,1.6666666666666667,1.9148542155126762,1.6666666666666667
11,yesterday_c,3,1.3333333333333333,1.4142135623730951,-0.6666666666666666
11,ecmwf_ifs_c,3,1.7000000000000004,2.1992422937608915,-1.7000000000000004
11,timesfm_c,3,1.1071364084879558,1.1678933452654077,-0.6797936757405599
12,persistence_c,3,2.3333333333333335,2.3804761428476167,2.3333333333333335
12,yesterday_c,3,0.6666666666666666,0.816496580927726,-0.6666666666666666
12,ecmwf_ifs_c,3,1.4333333333333336,1.707825127659933,-1.4333333333333336
12,timesfm_c,3,0.5672562917073568,0.6113309683509627,-0.3363056182861328
13,persistence_c,3,2.3333333333333335,2.3804761428476167,2.3333333333333335
13,yesterday_c,3,0.6666666666666666,0.816496580927726,-0.6666666666666666
13,ecmwf_ifs_c,3,1.5333333333333339,1.7262676501632077,-1.5333333333333339
13,timesfm_c,3,0.6321913401285807,0.7705328131935602,-0.6100660959879557
14,persistence_c,3,2.6666666666666665,2.8284271247461903,2.6666666666666665
14,yesterday_c,3,1.0,1.0,-0.3333333333333333
14,ecmwf_ifs_c,3,1.6000000000000003,1.9544820285692064,-1.6000000000000003
14,timesfm_c,3,1.0344454447428386,1.0601196527163075,-0.4957720438639323
15,persistence_c,2,2.0,2.0,2.0
15,yesterday_c,2,1.5,1.5811388300841898,-1.5
15,ecmwf_ifs_c,2,2.3499999999999996,2.4382370680473215,-2.3499999999999996
15,timesfm_c,2,1.3124570846557617,1.328499087041818,-1.3124570846557617
16,persistence_c,3,3.0,3.3166247903554,3.0
16,yesterday_c,3,1.6666666666666667,1.7320508075688772,-0.3333333333333333
16,ecmwf_ifs_c,3,1.7333333333333332,2.195449840010014,-1.6666666666666654
16,timesfm_c,3,1.480232874552409,1.4977519712947536,-0.381503423055013
17,persistence_c,3,2.6666666666666665,2.8284271247461903,2.6666666666666665
17,yesterday_c,3,1.3333333333333333,1.632993161855452,-1.3333333333333333
17,ecmwf_ifs_c,3,2.0666666666666678,2.222611077089288,-2.0666666666666678
17,timesfm_c,3,1.1391226450602214,1.26137040558975,-0.8657131195068359
18,persistence_c,3,2.6666666666666665,2.8284271247461903,2.6666666666666665
18,yesterday_c,3,1.6666666666666667,1.7320508075688772,-1.0
18,ecmwf_ifs_c,3,1.6666666666666667,1.8421002506197464,-1.6666666666666667
18,timesfm_c,3,1.1313489278157551,1.2206590421843,-0.7685228983561198
19,persistence_c,3,2.3333333333333335,2.516611478423583,2.3333333333333335
19,yesterday_c,3,1.3333333333333333,1.8257418583505538,-1.3333333333333333
19,ecmwf_ifs_c,3,1.5666666666666664,1.642153058233813,-1.5666666666666664
19,timesfm_c,3,0.7807267506917318,1.0957682125768,-0.7807267506917318
20,persistence_c,3,1.6666666666666667,1.9148542155126762,1.6666666666666667
20,yesterday_c,3,1.0,1.2909944487358056,-1.0
20,ecmwf_ifs_c,3,1.2999999999999996,1.6051998837112673,-1.2999999999999996
20,timesfm_c,3,0.8988596598307291,0.9972806823209447,-0.6848678588867188
21,persistence_c,3,1.6666666666666667,2.3804761428476167,1.6666666666666667
21,yesterday_c,3,1.3333333333333333,1.8257418583505538,-0.6666666666666666
21,ecmwf_ifs_c,3,1.6999999999999993,1.7990738358018175,-0.1666666666666655
21,timesfm_c,3,1.2776317596435547,1.445237956480806,0.15855979919433594
22,persistence_c,3,1.3333333333333333,1.8257418583505538,0.6666666666666666
22,yesterday_c,3,1.6666666666666667,1.9148542155126762,-1.0
22,ecmwf_ifs_c,3,1.6000000000000014,1.7492855684535915,-0.20000000000000048
22,timesfm_c,3,1.3793983459472656,1.4368635111908648,-0.12323379516601562
23,persistence_c,3,2.0,2.160246899469287,0.0
23,yesterday_c,3,2.0,2.160246899469287,-0.6666666666666666
23,ecmwf_ifs_c,3,1.9666666666666675,2.221861081766065,0.10000000000000024
23,timesfm_c,3,1.9410196940104167,1.9870100582305321,-0.2723096211751302
24,persistence_c,3,2.0,2.160246899469287,-0.6666666666666666
24,yesterday_c,3,2.0,2.160246899469287,-0.6666666666666666
24,ecmwf_ifs_c,3,1.7333333333333318,1.9663841605003494,0.2666666666666681
24,timesfm_c,3,1.7638607025146484,1.8352854863744648,-0.4454174041748047
25,persistence_c,3,1.3333333333333333,1.8257418583505538,-1.3333333333333333
25,yesterday_c,3,2.3333333333333335,2.6457513110645907,-2.3333333333333335
25,ecmwf_ifs_c,3,0.8666666666666671,1.0165300454651267,0.13333333333333286
25,timesfm_c,3,0.9012215932210287,1.0736778369500517,-0.6125151316324869
26,persistence_c,3,1.3333333333333333,1.632993161855452,-1.3333333333333333
26,yesterday_c,3,1.6666666666666667,1.7320508075688772,-1.6666666666666667
26,ecmwf_ifs_c,3,1.7000000000000004,1.7136705245369275,0.7000000000000005
26,timesfm_c,3,0.8003997802734375,0.8665356174435687,-0.26073455810546875
27,persistence_c,2,1.5,1.5811388300841898,-1.5
27,yesterday_c,2,2.0,2.0,-2.0
27,ecmwf_ifs_c,2,2.1999999999999993,2.3409399821439245,-0.8000000000000007
27,timesfm_c,2,0.5938835144042969,0.7804257369654367,-0.5938835144042969
28,persistence_c,3,1.3333333333333333,1.8257418583505538,0.6666666666666666
28,yesterday_c,3,2.6666666666666665,2.943920288775949,0.6666666666666666
28,ecmwf_ifs_c,3,2.0333333333333328,2.4664414311581235,1.4333333333333336
28,timesfm_c,3,1.9198799133300781,2.720462700173963,1.6975046793619792
29,persistence_c,3,1.0,1.0,-0.3333333333333333
29,yesterday_c,3,2.3333333333333335,2.6457513110645907,-1.0
29,ecmwf_ifs_c,3,1.8000000000000007,1.8885620632287068,0.39999999999999974
29,timesfm_c,3,1.2428563435872395,1.432615616389909,0.25514475504557294
30,persistence_c,3,1.0,1.2909944487358056,0.3333333333333333
30,yesterday_c,3,2.0,2.160246899469287,-0.6666666666666666
30,ecmwf_ifs_c,3,2.0666666666666678,2.200000000000001,0.3333333333333333
30,timesfm_c,3,1.471901575724284,1.7518689888560655,0.3543008168538411
31,persistence_c,3,0.6666666666666666,1.1547005383792515,0.6666666666666666
31,yesterday_c,3,2.0,2.160246899469287,-0.6666666666666666
31,ecmwf_ifs_c,3,1.5,1.6901676445449623,-0.5666666666666677
31,timesfm_c,3,1.3239154815673828,1.4125752984066084,0.015862147013346355
32,persistence_c,3,1.0,1.2909944487358056,1.0
32,yesterday_c,3,1.3333333333333333,1.4142135623730951,-0.6666666666666666
32,ecmwf_ifs_c,3,1.4666666666666661,1.6512621435334445,-1.0
32,timesfm_c,3,1.1148592631022136,1.1805277140358206,-0.19698588053385416
33,persistence_c,3,1.6666666666666667,1.7320508075688772,1.6666666666666667
33,yesterday_c,3,1.0,1.0,-0.3333333333333333
33,ecmwf_ifs_c,3,1.2666666666666668,1.4445299120013642,-1.000000000000001
33,timesfm_c,3,0.6717020670572916,0.795978070034264,0.009278615315755209
34,persistence_c,3,1.6666666666666667,1.7320508075688772,1.6666666666666667
34,yesterday_c,3,1.0,1.0,-0.3333333333333333
34,ecmwf_ifs_c,3,1.3999999999999997,1.6693312034065217,-1.2666666666666668
34,timesfm_c,3,0.7421016693115234,0.8800529813253563,-0.34747886657714844
35,persistence_c,3,2.0,2.160246899469287,2.0
35,yesterday_c,3,1.0,1.0,-0.3333333333333333
35,ecmwf_ifs_c,3,2.0666666666666678,2.2015146301277833,-1.2000000000000004
35,timesfm_c,3,1.1517772674560547,1.226323374855407,-0.2950738271077474
36,persistence_c,3,2.6666666666666665,2.70801280154532,2.6666666666666665
36,yesterday_c,3,0.3333333333333333,0.5773502691896257,-0.3333333333333333
36,ecmwf_ifs_c,3,1.6666666666666667,1.8565200420859094,-1.2000000000000004
36,timesfm_c,3,0.6190567016601562,0.719481536007922,0.05989710489908854
37,persistence_c,3,2.6666666666666665,2.70801280154532,2.6666666666666665
37,yesterday_c,3,0.3333333333333333,0.5773502691896257,-0.3333333333333333
37,ecmwf_ifs_c,3,1.9333333333333336,2.2612680808195504,-1.9333333333333336
37,timesfm_c,3,0.5941944122314453,0.7249064025566904,-0.1486504872639974
38,persistence_c,3,2.6666666666666665,2.70801280154532,2.6666666666666665
38,yesterday_c,3,0.3333333333333333,0.5773502691896257,-0.3333333333333333
38,ecmwf_ifs_c,3,1.9333333333333336,2.3902580055996747,-1.9333333333333336
38,timesfm_c,3,0.6935742696126302,0.8149870722500291,-0.3995628356933594
39,persistence_c,2,2.5,2.5495097567963922,2.5
39,yesterday_c,2,1.0,1.0,-1.0
39,ecmwf_ifs_c,2,1.799999999999999,2.408318915758458,-1.799999999999999
39,timesfm_c,2,0.8624048233032227,0.9821538547396171,-0.4699831008911133
40,persistence_c,3,3.0,3.1091263510296048,3.0
40,yesterday_c,3,1.0,1.0,-0.3333333333333333
40,ecmwf_ifs_c,3,1.7333333333333343,2.319482700948641,-1.7333333333333343
40,timesfm_c,3,0.7081940968831381,0.9112436042537416,-0.30350303649902344
41,persistence_c,3,4.0,4.08248290463863,4.0
41,yesterday_c,3,0.6666666666666666,0.816496580927726,0.0
41,ecmwf_ifs_c,3,1.3000000000000007,1.6782927833565477,-0.8999999999999998
41,timesfm_c,3,0.9938507080078125,1.0239981737702337,0.5572802225748698
42,persistence_c,3,3.6666666666666665,3.7859388972001824,3.6666666666666665
42,yesterday_c,3,0.6666666666666666,0.816496580927726,0.0
42,ecmwf_ifs_c,3,1.0,1.6753109164172075,-1.0
42,timesfm_c,3,0.6788673400878906,0.8088154550047054,0.3235511779785156
43,persistence_c,3,3.0,3.3166247903554,3.0
43,yesterday_c,3,1.3333333333333333,1.8257418583505538,-0.6666666666666666
43,ecmwf_ifs_c,3,1.5333333333333325,1.732050807568877,-1.5333333333333325
43,timesfm_c,3,0.9157206217447916,0.9590228890230031,0.06071345011393229
44,persistence_c,3,1.6666666666666667,2.3804761428476167,1.6666666666666667
44,yesterday_c,3,1.6666666666666667,1.9148542155126762,-1.0
44,ecmwf_ifs_c,3,3.1,3.542597916783671,-2.633333333333334
44,timesfm_c,3,1.3080469767252605,1.313140721025473,-0.5441538492838541
45,persistence_c,3,1.6666666666666667,2.3804761428476167,1.6666666666666667
45,yesterday_c,3,1.3333333333333333,1.8257418583505538,-0.6666666666666666
45,ecmwf_ifs_c,3,2.8333333333333335,2.9961085872622615,-1.5
45,timesfm_c,3,0.9331989288330078,1.2045020166250986,0.4014759063720703
46,persistence_c,3,1.0,1.2909944487358056,0.3333333333333333
46,yesterday_c,3,1.3333333333333333,1.8257418583505538,-1.3333333333333333
46,ecmwf_ifs_c,3,2.7999999999999994,3.1059083480789744,-1.599999999999999
46,timesfm_c,3,0.6546656290690104,0.6898839898116338,-0.17789332071940103
47,persistence_c,2,2.0,2.0,0.0
47,yesterday_c,2,2.0,2.23606797749979,-1.0
47,ecmwf_ifs_c,2,1.9000000000000004,2.0248456731316593,0.7000000000000011
47,timesfm_c,2,1.0589790344238281,1.091080403147671,0.26271629333496094
48,persistence_c,3,2.0,2.160246899469287,-1.3333333333333333
48,yesterday_c,3,2.0,2.160246899469287,-1.3333333333333333
48,ecmwf_ifs_c,3,2.4999999999999987,2.7331300737432884,-0.8999999999999998
