split,station,origin,run,status,reason,detail,imputed_history_hours,target_observed_hours,scored_hours
train,42410099999,2025-01-29 06:00:00+00:00,2025-01-29 00:00:00+00:00,eligible,,,13.0,47,0
train,43128599999,2025-01-29 06:00:00+00:00,2025-01-29 00:00:00+00:00,eligible,,,16.0,41,0
train,43279099999,2025-01-29 06:00:00+00:00,2025-01-29 00:00:00+00:00,eligible,,,5.0,48,0
train,42410099999,2025-01-31 06:00:00+00:00,2025-01-31 00:00:00+00:00,eligible,,,4.0,46,0
train,43128599999,2025-01-31 06:00:00+00:00,2025-01-31 00:00:00+00:00,eligible,,,12.0,41,0
train,43279099999,2025-01-31 06:00:00+00:00,2025-01-31 00:00:00+00:00,eligible,,,0.0,46,0
train,42410099999,2025-02-02 06:00:00+00:00,2025-02-02 00:00:00+00:00,eligible,,,6.0,48,0
train,43128599999,2025-02-02 06:00:00+00:00,2025-02-02 00:00:00+00:00,data_rejected,history_policy,Missing history exceeds 10% of the context,,39,0
train,43279099999,2025-02-02 06:00:00+00:00,2025-02-02 00:00:00+00:00,eligible,,,2.0,48,0
train,42410099999,2025-02-04 06:00:00+00:00,2025-02-04 00:00:00+00:00,eligible,,,4.0,47,0
train,43128599999,2025-02-04 06:00:00+00:00,2025-02-04 00:00:00+00:00,data_rejected,history_policy,Missing history exceeds 10% of the context,,44,0
train,43279099999,2025-02-04 06:00:00+00:00,2025-02-04 00:00:00+00:00,eligible,,,2.0,48,0
train,42410099999,2025-02-06 06:00:00+00:00,2025-02-06 00:00:00+00:00,eligible,,,3.0,48,0
train,43128599999,2025-02-06 06:00:00+00:00,2025-02-06 00:00:00+00:00,data_rejected,history_policy,Missing history exceeds 10% of the context,,37,0
train,43279099999,2025-02-06 06:00:00+00:00,2025-02-06 00:00:00+00:00,eligible,,,2.0,47,0
train,42410099999,2025-02-08 06:00:00+00:00,2025-02-08 00:00:00+00:00,eligible,,,1.0,47,0
train,43128599999,2025-02-08 06:00:00+00:00,2025-02-08 00:00:00+00:00,data_rejected,history_policy,Missing history exceeds 10% of the context,,47,0
train,43279099999,2025-02-08 06:00:00+00:00,2025-02-08 00:00:00+00:00,eligible,,,2.0,47,0
train,42410099999,2025-02-10 06:00:00+00:00,2025-02-10 00:00:00+00:00,eligible,,,2.0,45,0
train,43128599999,2025-02-10 06:00:00+00:00,2025-02-10 00:00:00+00:00,data_rejected,history_policy,Missing history exceeds 10% of the context,,39,0
train,43279099999,2025-02-10 06:00:00+00:00,2025-02-10 00:00:00+00:00,eligible,,,2.0,45,0
train,42410099999,2025-02-12 06:00:00+00:00,2025-02-12 00:00:00+00:00,eligible,,,4.0,47,0
train,43128599999,2025-02-12 06:00:00+00:00,2025-02-12 00:00:00+00:00,data_rejected,history_policy,Missing history exceeds 10% of the context,,45,0
train,43279099999,2025-02-12 06:00:00+00:00,2025-02-12 00:00:00+00:00,eligible,,,5.0,48,0
train,42410099999,2025-02-14 06:00:00+00:00,2025-02-14 00:00:00+00:00,eligible,,,5.0,48,0
train,43128599999,2025-02-14 06:00:00+00:00,2025-02-14 00:00:00+00:00,eligible,,,16.0,44,0
train,43279099999,2025-02-14 06:00:00+00:00,2025-02-14 00:00:00+00:00,eligible,,,5.0,48,0
train,42410099999,2025-02-16 06:00:00+00:00,2025-02-16 00:00:00+00:00,eligible,,,5.0,46,0
train,43128599999,2025-02-16 06:00:00+00:00,2025-02-16 00:00:00+00:00,data_rejected,history_policy,Missing history exceeds 10% of the context,,42,0
train,43279099999,2025-02-16 06:00:00+00:00,2025-02-16 00:00:00+00:00,eligible,,,4.0,47,0
