valid_time,observed_c,model_input_c,imputed,source_time,source_age_hours
2025-04-02 07:00:00+00:00,32.0,32.0,False,2025-04-02 07:00:00+00:00,0
2025-04-02 08:00:00+00:00,32.0,32.0,False,2025-04-02 08:00:00+00:00,0
2025-04-02 09:00:00+00:00,33.0,33.0,False,2025-04-02 09:00:00+00:00,0
2025-04-02 10:00:00+00:00,,33.0,True,2025-04-02 09:00:00+00:00,1
2025-04-02 11:00:00+00:00,32.0,32.0,False,2025-04-02 11:00:00+00:00,0
2025-04-02 12:00:00+00:00,31.0,31.0,False,2025-04-02 12:00:00+00:00,0
2025-04-02 13:00:00+00:00,30.0,30.0,False,2025-04-02 13:00:00+00:00,0
2025-04-02 14:00:00+00:00,29.0,29.0,False,2025-04-02 14:00:00+00:00,0
2025-04-02 15:00:00+00:00,27.0,27.0,False,2025-04-02 15:00:00+00:00,0
2025-04-02 16:00:00+00:00,28.0,28.0,False,2025-04-02 16:00:00+00:00,0
2025-04-02 17:00:00+00:00,27.0,27.0,False,2025-04-02 17:00:00+00:00,0
2025-04-02 18:00:00+00:00,27.0,27.0,False,2025-04-02 18:00:00+00:00,0
2025-04-02 19:00:00+00:00,26.0,26.0,False,2025-04-02 19:00:00+00:00,0
2025-04-02 20:00:00+00:00,25.0,25.0,False,2025-04-02 20:00:00+00:00,0
2025-04-02 21:00:00+00:00,25.0,25.0,False,2025-04-02 21:00:00+00:00,0
2025-04-02 22:00:00+00:00,24.0,24.0,False,2025-04-02 22:00:00+00:00,0
2025-04-02 23:00:00+00:00,24.0,24.0,False,2025-04-02 23:00:00+00:00,0
2025-04-03 00:00:00+00:00,24.0,24.0,False,2025-04-03 00:00:00+00:00,0
2025-04-03 01:00:00+00:00,24.0,24.0,False,2025-04-03 01:00:00+00:00,0
2025-04-03 02:00:00+00:00,25.0,25.0,False,2025-04-03 02:00:00+00:00,0
2025-04-03 03:00:00+00:00,27.0,27.0,False,2025-04-03 03:00:00+00:00,0
2025-04-03 04:00:00+00:00,29.0,29.0,False,2025-04-03 04:00:00+00:00,0
2025-04-03 05:00:00+00:00,29.0,29.0,False,2025-04-03 05:00:00+00:00,0
2025-04-03 06:00:00+00:00,30.0,30.0,False,2025-04-03 06:00:00+00:00,0
2025-04-03 07:00:00+00:00,32.0,32.0,False,2025-04-03 07:00:00+00:00,0
2025-04-03 08:00:00+00:00,33.0,33.0,False,2025-04-03 08:00:00+00:00,0
2025-04-03 09:00:00+00:00,34.0,34.0,False,2025-04-03 09:00:00+00:00,0
2025-04-03 10:00:00+00:00,27.0,27.0,False,2025-04-03 10:00:00+00:00,0
2025-04-03 11:00:00+00:00,23.0,23.0,False,2025-04-03 11:00:00+00:00,0
2025-04-03 12:00:00+00:00,,23.0,True,2025-04-03 11:00:00+00:00,1
2025-04-03 13:00:00+00:00,21.0,21.0,False,2025-04-03 13:00:00+00:00,0
2025-04-03 14:00:00+00:00,20.0,20.0,False,2025-04-03 14:00:00+00:00,0
2025-04-03 15:00:00+00:00,20.0,20.0,False,2025-04-03 15:00:00+00:00,0
2025-04-03 16:00:00+00:00,21.0,21.0,False,2025-04-03 16:00:00+00:00,0
2025-04-03 17:00:00+00:00,21.0,21.0,False,2025-04-03 17:00:00+00:00,0
2025-04-03 18:00:00+00:00,21.0,21.0,False,2025-04-03 18:00:00+00:00,0
2025-04-03 19:00:00+00:00,21.0,21.0,False,2025-04-03 19:00:00+00:00,0
2025-04-03 20:00:00+00:00,22.0,22.0,False,2025-04-03 20:00:00+00:00,0
2025-04-03 21:00:00+00:00,22.0,22.0,False,2025-04-03 21:00:00+00:00,0
2025-04-03 22:00:00+00:00,22.0,22.0,False,2025-04-03 22:00:00+00:00,0
2025-04-03 23:00:00+00:00,21.0,21.0,False,2025-04-03 23:00:00+00:00,0
2025-04-04 00:00:00+00:00,21.0,21.0,False,2025-04-04 00:00:00+00:00,0
2025-04-04 01:00:00+00:00,21.0,21.0,False,2025-04-04 01:00:00+00:00,0
2025-04-04 02:00:00+00:00,23.0,23.0,False,2025-04-04 02:00:00+00:00,0
2025-04-04 03:00:00+00:00,25.0,25.0,False,2025-04-04 03:00:00+00:00,0
2025-04-04 04:00:00+00:00,27.0,27.0,False,2025-04-04 04:00:00+00:00,0
2025-04-04 05:00:00+00:00,29.0,29.0,False,2025-04-04 05:00:00+00:00,0
2025-04-04 06:00:00+00:00,30.0,30.0,False,2025-04-04 06:00:00+00:00,0
2025-04-04 07:00:00+00:00,30.0,30.0,False,2025-04-04 07:00:00+00:00,0
2025-04-04 08:00:00+00:00,31.0,31.0,False,2025-04-04 08:00:00+00:00,0
2025-04-04 09:00:00+00:00,31.0,31.0,False,2025-04-04 09:00:00+00:00,0
2025-04-04 10:00:00+00:00,31.0,31.0,False,2025-04-04 10:00:00+00:00,0
2025-04-04 11:00:00+00:00,31.0,31.0,False,2025-04-04 11:00:00+00:00,0
2025-04-04 12:00:00+00:00,31.0,31.0,False,2025-04-04 12:00:00+00:00,0
2025-04-04 13:00:00+00:00,30.0,30.0,False,2025-04-04 13:00:00+00:00,0
2025-04-04 14:00:00+00:00,30.0,30.0,False,2025-04-04 14:00:00+00:00,0
2025-04-04 15:00:00+00:00,27.0,27.0,False,2025-04-04 15:00:00+00:00,0
2025-04-04 16:00:00+00:00,26.0,26.0,False,2025-04-04 16:00:00+00:00,0
2025-04-04 17:00:00+00:00,26.0,26.0,False,2025-04-04 17:00:00+00:00,0
2025-04-04 18:00:00+00:00,25.0,25.0,False,2025-04-04 18:00:00+00:00,0
2025-04-04 19:00:00+00:00,24.0,24.0,False,2025-04-04 19:00:00+00:00,0
2025-04-04 20:00:00+00:00,24.0,24.0,False,2025-04-04 20:00:00+00:00,0
2025-04-04 21:00:00+00:00,24.0,24.0,False,2025-04-04 21:00:00+00:00,0
2025-04-04 22:00:00+00:00,23.0,23.0,False,2025-04-04 22:00:00+00:00,0
2025-04-04 23:00:00+00:00,22.0,22.0,False,2025-04-04 23:00:00+00:00,0
