valid_time,nwp_c,segment_origin,run,run_lead_hours
2025-04-16 07:00:00+00:00,34.9,2025-04-15 06:00:00+00:00,2025-04-15 00:00:00+00:00,31
2025-04-16 08:00:00+00:00,35.6,2025-04-15 06:00:00+00:00,2025-04-15 00:00:00+00:00,32
2025-04-16 09:00:00+00:00,35.5,2025-04-15 06:00:00+00:00,2025-04-15 00:00:00+00:00,33
2025-04-16 10:00:00+00:00,35.4,2025-04-15 06:00:00+00:00,2025-04-15 00:00:00+00:00,34
2025-04-16 11:00:00+00:00,34.6,2025-04-15 06:00:00+00:00,2025-04-15 00:00:00+00:00,35
2025-04-16 12:00:00+00:00,33.3,2025-04-15 06:00:00+00:00,2025-04-15 00:00:00+00:00,36
2025-04-16 13:00:00+00:00,30.0,2025-04-15 06:00:00+00:00,2025-04-15 00:00:00+00:00,37
2025-04-16 14:00:00+00:00,28.1,2025-04-15 06:00:00+00:00,2025-04-15 00:00:00+00:00,38
2025-04-16 15:00:00+00:00,27.1,2025-04-15 06:00:00+00:00,2025-04-15 00:00:00+00:00,39
2025-04-16 16:00:00+00:00,26.9,2025-04-15 06:00:00+00:00,2025-04-15 00:00:00+00:00,40
2025-04-16 17:00:00+00:00,26.9,2025-04-15 06:00:00+00:00,2025-04-15 00:00:00+00:00,41
2025-04-16 18:00:00+00:00,26.4,2025-04-15 06:00:00+00:00,2025-04-15 00:00:00+00:00,42
2025-04-16 19:00:00+00:00,25.6,2025-04-15 06:00:00+00:00,2025-04-15 00:00:00+00:00,43
2025-04-16 20:00:00+00:00,24.6,2025-04-15 06:00:00+00:00,2025-04-15 00:00:00+00:00,44
2025-04-16 21:00:00+00:00,23.8,2025-04-15 06:00:00+00:00,2025-04-15 00:00:00+00:00,45
2025-04-16 22:00:00+00:00,23.4,2025-04-15 06:00:00+00:00,2025-04-15 00:00:00+00:00,46
2025-04-16 23:00:00+00:00,23.5,2025-04-15 06:00:00+00:00,2025-04-15 00:00:00+00:00,47
2025-04-17 00:00:00+00:00,24.3,2025-04-15 06:00:00+00:00,2025-04-15 00:00:00+00:00,48
2025-04-17 01:00:00+00:00,24.7,2025-04-15 06:00:00+00:00,2025-04-15 00:00:00+00:00,49
2025-04-17 02:00:00+00:00,26.5,2025-04-15 06:00:00+00:00,2025-04-15 00:00:00+00:00,50
2025-04-17 03:00:00+00:00,28.7,2025-04-15 06:00:00+00:00,2025-04-15 00:00:00+00:00,51
2025-04-17 04:00:00+00:00,30.6,2025-04-15 06:00:00+00:00,2025-04-15 00:00:00+00:00,52
2025-04-17 05:00:00+00:00,32.3,2025-04-15 06:00:00+00:00,2025-04-15 00:00:00+00:00,53
2025-04-17 06:00:00+00:00,33.7,2025-04-15 06:00:00+00:00,2025-04-15 00:00:00+00:00,54
2025-04-17 07:00:00+00:00,34.4,2025-04-17 06:00:00+00:00,2025-04-17 00:00:00+00:00,7
2025-04-17 08:00:00+00:00,34.4,2025-04-17 06:00:00+00:00,2025-04-17 00:00:00+00:00,8
2025-04-17 09:00:00+00:00,33.8,2025-04-17 06:00:00+00:00,2025-04-17 00:00:00+00:00,9
2025-04-17 10:00:00+00:00,33.0,2025-04-17 06:00:00+00:00,2025-04-17 00:00:00+00:00,10
2025-04-17 11:00:00+00:00,32.7,2025-04-17 06:00:00+00:00,2025-04-17 00:00:00+00:00,11
2025-04-17 12:00:00+00:00,31.7,2025-04-17 06:00:00+00:00,2025-04-17 00:00:00+00:00,12
2025-04-17 13:00:00+00:00,29.6,2025-04-17 06:00:00+00:00,2025-04-17 00:00:00+00:00,13
