lead_start,lead_end,method,n,mae_c,rmse_c,bias_c
1,6,persistence_c,156,1.4230769230769231,1.7759071354792608,-0.44871794871794873
1,6,yesterday_c,156,1.794871794871795,2.7642405179408036,-0.3333333333333333
1,6,ecmwf_ifs_c,156,1.4615384615384617,1.925137357736805,-0.48333333333333345
1,6,bias_corrected_c,156,1.5284261310469425,1.9512544975521227,0.1192985891969595
1,6,ridge_corrected_c,156,1.3355713067012773,1.7520315514175202,0.5482264280520284
1,6,timesfm_c,156,0.9122375341562124,1.2199586145838992,-0.17665960849859777
1,6,timesfm_nwp_c,156,0.9347831652714655,1.2774977685101243,-0.1260526241400303
7,24,persistence_c,464,4.551724137931035,5.160777140088029,4.418103448275862
7,24,yesterday_c,464,1.1120689655172413,1.6360697228208323,-0.30603448275862066
7,24,ecmwf_ifs_c,464,1.447198275862069,1.7997784825380307,-0.8903017241379311
7,24,bias_corrected_c,464,1.2029217353929265,1.6324263651979931,-0.2925596962775311
7,24,ridge_corrected_c,464,1.1683130117358285,1.5460642493263768,0.6438656004985984
7,24,timesfm_c,464,0.940156891428191,1.2935616906678318,-0.34463194732008307
7,24,timesfm_nwp_c,464,0.8991358444608492,1.2502302101117462,-0.3175992965698242
25,48,persistence_c,623,4.056179775280899,4.8948821833712275,3.34991974317817
25,48,yesterday_c,623,1.4365971107544142,2.2453804905519967,-0.22953451043338685
25,48,ecmwf_ifs_c,623,1.4839486356340288,1.9411361700866376,-0.47913322632423755
25,48,bias_corrected_c,623,1.3559917617036872,1.8966617409175852,0.12212496325302521
25,48,ridge_corrected_c,623,1.488897857016096,1.9951944690666954,1.0826762529125307
25,48,timesfm_c,623,1.250514267727039,1.7527727223562326,-0.3353438890190798
25,48,timesfm_nwp_c,623,1.1439172245717546,1.6552538704259485,-0.2570671093789188
