lead_hours,method,n,mae_c,rmse_c,bias_c
1,persistence_c,27,0.7407407407407407,0.90267093384844,-0.6666666666666666
1,yesterday_c,27,1.7407407407407407,2.617604219864388,-0.18518518518518517
1,ecmwf_ifs_c,27,1.1888888888888887,1.461734129952046,0.0777777777777777
1,bias_corrected_c,27,1.4150931185042301,1.7460655832515075,0.6676936616662154
1,ridge_corrected_c,27,1.1777534650767525,1.4228137776875447,0.8614412651209264
1,timesfm_c,27,0.4973078833685981,0.6021534302308853,-0.021225752653899015
1,timesfm_nwp_c,27,0.48224767049153644,0.6224333729653784,0.03555453265154803
2,persistence_c,27,1.1481481481481481,1.3743685418725535,-1.0740740740740742
2,yesterday_c,27,1.7037037037037037,2.596293654566205,-0.07407407407407407
2,ecmwf_ifs_c,27,1.1222222222222225,1.3855069937137197,-0.1888888888888896
2,bias_corrected_c,27,1.219670251101084,1.5457289396557847,0.4010269949995482
2,ridge_corrected_c,27,1.1534256637594014,1.3964111642226453,0.7181641273785518
2,timesfm_c,27,0.6097915790699147,0.7558111717548773,-0.07519397029170284
2,timesfm_nwp_c,27,0.6704074011908637,0.8185110070155787,-0.045585844251844615
3,persistence_c,27,1.3703703703703705,1.6666666666666667,-1.0740740740740742
3,yesterday_c,27,1.8148148148148149,2.545875386086578,-0.037037037037037035
3,ecmwf_ifs_c,27,1.2185185185185186,1.7028298886352768,-0.6555555555555562
3,bias_corrected_c,27,1.3663017081949405,1.7360973474016002,-0.06563967166711827
3,ridge_corrected_c,27,1.1889105401420077,1.4321272116938801,0.42297580461005624
3,timesfm_c,27,0.8495567463062428,1.0018076292969922,-0.08088253162525318
3,timesfm_nwp_c,27,0.7961160165292246,0.9710517220885029,-0.04994893957067419
4,persistence_c,26,1.6538461538461537,2.0286410760370144,-0.5
4,yesterday_c,26,1.7692307692307692,2.57203899958469,-0.07692307692307693
4,ecmwf_ifs_c,26,1.7115384615384621,2.244394727383687,-0.44999999999999957
4,bias_corrected_c,26,1.8249147660207312,2.2320691390168275,0.15801985640625504
4,ridge_corrected_c,26,1.5159090511231754,2.0221452579438393,0.6470951589657392
4,timesfm_c,26,1.1322708863478441,1.508257277896344,-0.0002952722402719351
4,timesfm_nwp_c,26,1.1244228803194487,1.5801246662298374,0.09823395655705379
5,persistence_c,25,1.64,1.98997487421324,-0.2
5,yesterday_c,25,1.52,2.4166091947189146,-0.48
