station,method,n,mae_c,rmse_c,bias_c
42410099999,persistence_c,165,3.4242424242424243,4.056420275876928,2.3212121212121213
42410099999,yesterday_c,165,1.993939393939394,2.6844106627080375,-0.9878787878787879
42410099999,ecmwf_ifs_c,165,2.2187878787878788,2.681078480421977,-2.1084848484848484
42410099999,bias_corrected_c,165,1.8054400785347084,2.281288349933585,-1.5690134077346363
42410099999,ridge_corrected_c,165,1.3118959361903293,1.6486095593091206,-0.21422851740754856
42410099999,timesfm_c,165,1.5222582845976858,1.8135713946037895,-0.9194296981349136
42410099999,timesfm_nwp_c,165,1.4844721245043206,1.716008550215154,-0.88838979547674
43128599999,persistence_c,503,4.892644135188867,5.827029633859497,3.9900596421471173
43128599999,yesterday_c,503,1.7216699801192843,2.456783524910239,-0.3697813121272366
43128599999,ecmwf_ifs_c,503,1.3992047713717692,1.8158896630549066,-0.27594433399602386
43128599999,bias_corrected_c,503,1.372010143861242,1.801631158106508,-0.15673173557082612
43128599999,ridge_corrected_c,503,1.3690816432916213,1.8825639542077204,0.7127140629927591
43128599999,timesfm_c,503,1.3504410207153077,1.760212398556211,-0.3467641985914105
43128599999,timesfm_nwp_c,503,1.3183851450622437,1.778499567513477,-0.27341921523835505
43279099999,persistence_c,575,3.1913043478260867,3.726053979865236,2.916521739130435
43279099999,yesterday_c,575,0.8626086956521739,1.5322617553657476,0.020869565217391306
43279099999,ecmwf_ifs_c,575,1.3114782608695652,1.659727583723881,-0.5222608695652174
43279099999,bias_corrected_c,575,1.1362683719767068,1.6577519145773465,0.5159478403772635
43279099999,ridge_corrected_c,575,1.344206661156107,1.7873436654015313,1.2793683454936702
43279099999,timesfm_c,575,0.742900506724482,1.1952181752289726,-0.12218969262164572
43279099999,timesfm_nwp_c,575,0.6393043617580247,1.0299030457381535,-0.07490245321522589
