valid_time,nwp_c,segment_origin,run,run_lead_hours
2025-11-01 07:00:00+00:00,26.2,2025-10-31 06:00:00+00:00,2025-10-31 00:00:00+00:00,31
2025-11-01 08:00:00+00:00,27.0,2025-10-31 06:00:00+00:00,2025-10-31 00:00:00+00:00,32
2025-11-01 09:00:00+00:00,27.5,2025-10-31 06:00:00+00:00,2025-10-31 00:00:00+00:00,33
2025-11-01 10:00:00+00:00,27.6,2025-10-31 06:00:00+00:00,2025-10-31 00:00:00+00:00,34
2025-11-01 11:00:00+00:00,26.9,2025-10-31 06:00:00+00:00,2025-10-31 00:00:00+00:00,35
2025-11-01 12:00:00+00:00,25.7,2025-10-31 06:00:00+00:00,2025-10-31 00:00:00+00:00,36
2025-11-01 13:00:00+00:00,25.0,2025-10-31 06:00:00+00:00,2025-10-31 00:00:00+00:00,37
2025-11-01 14:00:00+00:00,24.4,2025-10-31 06:00:00+00:00,2025-10-31 00:00:00+00:00,38
2025-11-01 15:00:00+00:00,24.0,2025-10-31 06:00:00+00:00,2025-10-31 00:00:00+00:00,39
2025-11-01 16:00:00+00:00,23.4,2025-10-31 06:00:00+00:00,2025-10-31 00:00:00+00:00,40
2025-11-01 17:00:00+00:00,23.0,2025-10-31 06:00:00+00:00,2025-10-31 00:00:00+00:00,41
2025-11-01 18:00:00+00:00,22.3,2025-10-31 06:00:00+00:00,2025-10-31 00:00:00+00:00,42
2025-11-01 19:00:00+00:00,22.2,2025-10-31 06:00:00+00:00,2025-10-31 00:00:00+00:00,43
2025-11-01 20:00:00+00:00,22.1,2025-10-31 06:00:00+00:00,2025-10-31 00:00:00+00:00,44
2025-11-01 21:00:00+00:00,21.8,2025-10-31 06:00:00+00:00,2025-10-31 00:00:00+00:00,45
2025-11-01 22:00:00+00:00,21.6,2025-10-31 06:00:00+00:00,2025-10-31 00:00:00+00:00,46
2025-11-01 23:00:00+00:00,21.6,2025-10-31 06:00:00+00:00,2025-10-31 00:00:00+00:00,47
2025-11-02 00:00:00+00:00,21.5,2025-10-31 06:00:00+00:00,2025-10-31 00:00:00+00:00,48
2025-11-02 01:00:00+00:00,21.4,2025-10-31 06:00:00+00:00,2025-10-31 00:00:00+00:00,49
2025-11-02 02:00:00+00:00,22.8,2025-10-31 06:00:00+00:00,2025-10-31 00:00:00+00:00,50
2025-11-02 03:00:00+00:00,24.5,2025-10-31 06:00:00+00:00,2025-10-31 00:00:00+00:00,51
2025-11-02 04:00:00+00:00,25.8,2025-10-31 06:00:00+00:00,2025-10-31 00:00:00+00:00,52
2025-11-02 05:00:00+00:00,26.5,2025-10-31 06:00:00+00:00,2025-10-31 00:00:00+00:00,53
2025-11-02 06:00:00+00:00,27.2,2025-10-31 06:00:00+00:00,2025-10-31 00:00:00+00:00,54
2025-11-02 07:00:00+00:00,29.6,2025-11-02 06:00:00+00:00,2025-11-02 00:00:00+00:00,7
2025-11-02 08:00:00+00:00,29.0,2025-11-02 06:00:00+00:00,2025-11-02 00:00:00+00:00,8
2025-11-02 09:00:00+00:00,27.9,2025-11-02 06:00:00+00:00,2025-11-02 00:00:00+00:00,9
2025-11-02 10:00:00+00:00,25.4,2025-11-02 06:00:00+00:00,2025-11-02 00:00:00+00:00,10
2025-11-02 11:00:00+00:00,25.7,2025-11-02 06:00:00+00:00,2025-11-02 00:00:00+00:00,11
2025-11-02 12:00:00+00:00,25.5,2025-11-02 06:00:00+00:00,2025-11-02 00:00:00+00:00,12
2025-11-02 13:00:00+00:00,24.7,2025-11-02 06:00:00+00:00,2025-11-02 00:00:00+00:00,13
2025-11-02 14:00:00+00:00,24.3,2025-11-02 06:00:00+00:00,2025-11-02 00:00:00+00:00,14
2025-11-02 15:00:00+00:00,23.8,2025-11-02 06:00:00+00:00,2025-11-02 00:00:00+00:00,15
2025-11-02 16:00:00+00:00,23.5,2025-11-02 06:00:00+00:00,2025-11-02 00:00:00+00:00,16
2025-11-02 17:00:00+00:00,23.1,2025-11-02 06:00:00+00:00,2025-11-02 00:00:00+00:00,17
2025-11-02 18:00:00+00:00,22.9,2025-11-02 06:00:00+00:00,2025-11-02 00:00:00+00:00,18
2025-11-02 19:00:00+00:00,22.5,2025-11-02 06:00:00+00:00,2025-11-02 00:00:00+00:00,19
2025-11-02 20:00:00+00:00,22.3,2025-11-02 06:00:00+00:00,2025-11-02 00:00:00+00:00,20
2025-11-02 21:00:00+00:00,21.6,2025-11-02 06:00:00+00:00,2025-11-02 00:00:00+00:00,21
2025-11-02 22:00:00+00:00,21.3,2025-11-02 06:00:00+00:00,2025-11-02 00:00:00+00:00,22
2025-11-02 23:00:00+00:00,21.2,2025-11-02 06:00:00+00:00,2025-11-02 00:00:00+00:00,23
2025-11-03 00:00:00+00:00,21.2,2025-11-02 06:00:00+00:00,2025-11-02 00:00:00+00:00,24
2025-11-03 01:00:00+00:00,21.2,2025-11-02 06:00:00+00:00,2025-11-02 00:00:00+00:00,25
2025-11-03 02:00:00+00:00,22.8,2025-11-02 06:00:00+00:00,2025-11-02 00:00:00+00:00,26
