valid_time,observed_c,model_input_c,imputed,source_time,source_age_hours
2025-10-24 07:00:00+00:00,27.0,27.0,False,2025-10-24 07:00:00+00:00,0
2025-10-24 08:00:00+00:00,27.0,27.0,False,2025-10-24 08:00:00+00:00,0
2025-10-24 09:00:00+00:00,27.2,27.2,False,2025-10-24 09:00:00+00:00,0
2025-10-24 10:00:00+00:00,28.0,28.0,False,2025-10-24 10:00:00+00:00,0
2025-10-24 11:00:00+00:00,28.0,28.0,False,2025-10-24 11:00:00+00:00,0
2025-10-24 12:00:00+00:00,26.2,26.2,False,2025-10-24 12:00:00+00:00,0
2025-10-24 13:00:00+00:00,27.0,27.0,False,2025-10-24 13:00:00+00:00,0
2025-10-24 14:00:00+00:00,27.0,27.0,False,2025-10-24 14:00:00+00:00,0
2025-10-24 15:00:00+00:00,25.7,25.7,False,2025-10-24 15:00:00+00:00,0
2025-10-24 16:00:00+00:00,27.0,27.0,False,2025-10-24 16:00:00+00:00,0
2025-10-24 17:00:00+00:00,27.0,27.0,False,2025-10-24 17:00:00+00:00,0
2025-10-24 18:00:00+00:00,26.0,26.0,False,2025-10-24 18:00:00+00:00,0
2025-10-24 19:00:00+00:00,26.0,26.0,False,2025-10-24 19:00:00+00:00,0
2025-10-24 20:00:00+00:00,26.0,26.0,False,2025-10-24 20:00:00+00:00,0
2025-10-24 21:00:00+00:00,26.0,26.0,False,2025-10-24 21:00:00+00:00,0
2025-10-24 22:00:00+00:00,26.0,26.0,False,2025-10-24 22:00:00+00:00,0
2025-10-24 23:00:00+00:00,26.0,26.0,False,2025-10-24 23:00:00+00:00,0
2025-10-25 00:00:00+00:00,26.0,26.0,False,2025-10-25 00:00:00+00:00,0
2025-10-25 01:00:00+00:00,26.0,26.0,False,2025-10-25 01:00:00+00:00,0
2025-10-25 02:00:00+00:00,25.0,25.0,False,2025-10-25 02:00:00+00:00,0
2025-10-25 03:00:00+00:00,25.0,25.0,False,2025-10-25 03:00:00+00:00,0
2025-10-25 04:00:00+00:00,27.0,27.0,False,2025-10-25 04:00:00+00:00,0
2025-10-25 05:00:00+00:00,28.0,28.0,False,2025-10-25 05:00:00+00:00,0
2025-10-25 06:00:00+00:00,29.0,29.0,False,2025-10-25 06:00:00+00:00,0
2025-10-25 07:00:00+00:00,27.0,27.0,False,2025-10-25 07:00:00+00:00,0
2025-10-25 08:00:00+00:00,29.0,29.0,False,2025-10-25 08:00:00+00:00,0
2025-10-25 09:00:00+00:00,28.7,28.7,False,2025-10-25 09:00:00+00:00,0
2025-10-25 10:00:00+00:00,30.0,30.0,False,2025-10-25 10:00:00+00:00,0
2025-10-25 11:00:00+00:00,29.0,29.0,False,2025-10-25 11:00:00+00:00,0
2025-10-25 12:00:00+00:00,25.0,25.0,False,2025-10-25 12:00:00+00:00,0
2025-10-25 13:00:00+00:00,25.0,25.0,False,2025-10-25 13:00:00+00:00,0
2025-10-25 14:00:00+00:00,26.0,26.0,False,2025-10-25 14:00:00+00:00,0
2025-10-25 15:00:00+00:00,25.7,25.7,False,2025-10-25 15:00:00+00:00,0
2025-10-25 16:00:00+00:00,26.0,26.0,False,2025-10-25 16:00:00+00:00,0
2025-10-25 17:00:00+00:00,26.0,26.0,False,2025-10-25 17:00:00+00:00,0
2025-10-25 18:00:00+00:00,26.2,26.2,False,2025-10-25 18:00:00+00:00,0
2025-10-25 19:00:00+00:00,26.0,26.0,False,2025-10-25 19:00:00+00:00,0
2025-10-25 20:00:00+00:00,26.0,26.0,False,2025-10-25 20:00:00+00:00,0
2025-10-25 21:00:00+00:00,26.0,26.0,False,2025-10-25 21:00:00+00:00,0
2025-10-25 22:00:00+00:00,25.0,25.0,False,2025-10-25 22:00:00+00:00,0
2025-10-25 23:00:00+00:00,25.0,25.0,False,2025-10-25 23:00:00+00:00,0
2025-10-26 00:00:00+00:00,24.6,24.6,False,2025-10-26 00:00:00+00:00,0
2025-10-26 01:00:00+00:00,25.0,25.0,False,2025-10-26 01:00:00+00:00,0
2025-10-26 02:00:00+00:00,26.0,26.0,False,2025-10-26 02:00:00+00:00,0
2025-10-26 03:00:00+00:00,26.6,26.6,False,2025-10-26 03:00:00+00:00,0
2025-10-26 04:00:00+00:00,29.0,29.0,False,2025-10-26 04:00:00+00:00,0
2025-10-26 05:00:00+00:00,30.0,30.0,False,2025-10-26 05:00:00+00:00,0
2025-10-26 06:00:00+00:00,30.6,30.6,False,2025-10-26 06:00:00+00:00,0
2025-10-26 07:00:00+00:00,31.0,31.0,False,2025-10-26 07:00:00+00:00,0
2025-10-26 08:00:00+00:00,31.0,31.0,False,2025-10-26 08:00:00+00:00,0
2025-10-26 09:00:00+00:00,30.5,30.5,False,2025-10-26 09:00:00+00:00,0
2025-10-26 10:00:00+00:00,30.0,30.0,False,2025-10-26 10:00:00+00:00,0
2025-10-26 11:00:00+00:00,30.0,30.0,False,2025-10-26 11:00:00+00:00,0
2025-10-26 12:00:00+00:00,29.0,29.0,False,2025-10-26 12:00:00+00:00,0
2025-10-26 13:00:00+00:00,27.0,27.0,False,2025-10-26 13:00:00+00:00,0
