lead_start,lead_end,method,n,mae_c,rmse_c,bias_c
1,6,persistence_c,165,1.40969696969697,1.7364540671358768,0.029090909090909462
1,6,yesterday_c,165,1.2945454545454547,1.7661806078071234,0.13212121212121214
1,6,ecmwf_ifs_c,165,1.289090909090909,1.6714174713806131,-0.5763636363636362
1,6,bias_corrected_c,165,1.1471778932774968,1.5630997701000682,0.27568979461072357
1,6,ridge_corrected_c,165,0.9328257086585371,1.3257933145525291,0.05234675140103928
1,6,timesfm_c,165,0.9172383210153291,1.2218687794790968,0.17136867176402698
1,6,timesfm_nwp_c,165,0.7729620592521899,1.0470321899592825,0.16017043142607718
7,24,persistence_c,489,4.167484662576688,4.908456456491804,3.9907975460122698
7,24,yesterday_c,489,1.0253578732106339,1.4105648696652495,0.23231083844580777
7,24,ecmwf_ifs_c,489,1.2625766871165645,1.5702109323871551,-0.9869120654396728
7,24,bias_corrected_c,489,0.8980158886632295,1.151536872513523,-0.13694412345572765
7,24,ridge_corrected_c,489,0.8176636314541083,1.052042497793928,-0.0012375889822995158
7,24,timesfm_c,489,0.9208220093771968,1.221467388520875,0.3047803164991133
7,24,timesfm_nwp_c,489,0.7314786774492946,0.9389485379660311,0.1201236116374197
25,48,persistence_c,664,3.780572289156627,4.586470083988917,3.272138554216867
25,48,yesterday_c,664,1.3087349397590362,1.821119409488147,0.48313253012048196
25,48,ecmwf_ifs_c,664,1.32710843373494,1.6449173268125643,-0.8990963855421686
25,48,bias_corrected_c,664,1.006355220769935,1.3144878758193,-0.05069329282313571
25,48,ridge_corrected_c,664,0.9915772416821653,1.285908859044462,0.11222435152125204
25,48,timesfm_c,664,1.2907236894929266,1.7387985926612066,0.5367919321519783
25,48,timesfm_nwp_c,664,1.0028507077550313,1.3623055004372746,0.15782615650131043
