split,station,origin,run,origin_month,calendar_season,forecast_epoch,status,reason,detail,imputed_history_hours,target_observed_hours,scored_hours
development,42410099999,2025-09-05 06:00:00+00:00,2025-09-05 00:00:00+00:00,2025-09,SON,ifs_49r1_hindcast,data_rejected,history_policy,Missing history exceeds 10% of the context,,48,0
development,43128599999,2025-09-05 06:00:00+00:00,2025-09-05 00:00:00+00:00,2025-09,SON,ifs_49r1_hindcast,data_rejected,history_policy,Missing history exceeds 10% of the context,,45,0
development,43279099999,2025-09-05 06:00:00+00:00,2025-09-05 00:00:00+00:00,2025-09,SON,ifs_49r1_hindcast,data_rejected,history_policy,Missing history exceeds 10% of the context,,48,0
development,42410099999,2025-09-13 06:00:00+00:00,2025-09-13 00:00:00+00:00,2025-09,SON,ifs_49r1_hindcast,scored,,,6.0,48,48
development,43128599999,2025-09-13 06:00:00+00:00,2025-09-13 00:00:00+00:00,2025-09,SON,ifs_49r1_hindcast,data_rejected,history_policy,Missing history exceeds 10% of the context,,43,0
development,43279099999,2025-09-13 06:00:00+00:00,2025-09-13 00:00:00+00:00,2025-09,SON,ifs_49r1_hindcast,scored,,,13.0,48,48
development,42410099999,2025-09-21 06:00:00+00:00,2025-09-21 00:00:00+00:00,2025-09,SON,ifs_49r1_hindcast,scored,,,3.0,48,48
development,43128599999,2025-09-21 06:00:00+00:00,2025-09-21 00:00:00+00:00,2025-09,SON,ifs_49r1_hindcast,scored,,,10.0,45,45
development,43279099999,2025-09-21 06:00:00+00:00,2025-09-21 00:00:00+00:00,2025-09,SON,ifs_49r1_hindcast,scored,,,3.0,48,48
development,42410099999,2025-09-29 06:00:00+00:00,2025-09-29 00:00:00+00:00,2025-09,SON,ifs_49r1_hindcast,scored,,,1.0,46,46
development,43128599999,2025-09-29 06:00:00+00:00,2025-09-29 00:00:00+00:00,2025-09,SON,ifs_49r1_hindcast,scored,,,10.0,46,46
development,43279099999,2025-09-29 06:00:00+00:00,2025-09-29 00:00:00+00:00,2025-09,SON,ifs_49r1_hindcast,scored,,,0.0,47,47
development,42410099999,2025-10-07 06:00:00+00:00,2025-10-07 00:00:00+00:00,2025-10,SON,ifs_49r1_hindcast,scored,,,2.0,48,48
development,43128599999,2025-10-07 06:00:00+00:00,2025-10-07 00:00:00+00:00,2025-10,SON,ifs_49r1_hindcast,scored,,,3.0,46,46
development,43279099999,2025-10-07 06:00:00+00:00,2025-10-07 00:00:00+00:00,2025-10,SON,ifs_49r1_hindcast,scored,,,0.0,48,48
development,42410099999,2025-10-15 06:00:00+00:00,2025-10-15 00:00:00+00:00,2025-10,SON,ifs_49r1_hindcast,scored,,,0.0,48,48
development,43128599999,2025-10-15 06:00:00+00:00,2025-10-15 00:00:00+00:00,2025-10,SON,ifs_49r1_hindcast,data_rejected,history_policy,History has a leading gap or a gap longer than 6 hours,,41,0
development,43279099999,2025-10-15 06:00:00+00:00,2025-10-15 00:00:00+00:00,2025-10,SON,ifs_49r1_hindcast,scored,,,0.0,48,48
development,42410099999,2025-10-23 06:00:00+00:00,2025-10-23 00:00:00+00:00,2025-10,SON,ifs_49r1_hindcast,scored,,,0.0,46,46
development,43128599999,2025-10-23 06:00:00+00:00,2025-10-23 00:00:00+00:00,2025-10,SON,ifs_49r1_hindcast,scored,,,8.0,45,45
development,43279099999,2025-10-23 06:00:00+00:00,2025-10-23 00:00:00+00:00,2025-10,SON,ifs_49r1_hindcast,scored,,,0.0,46,46
development,42410099999,2025-10-31 06:00:00+00:00,2025-10-31 00:00:00+00:00,2025-10,SON,ifs_49r1_hindcast,scored,,,1.0,48,48
development,43128599999,2025-10-31 06:00:00+00:00,2025-10-31 00:00:00+00:00,2025-10,SON,ifs_49r1_hindcast,scored,,,7.0,46,46
development,43279099999,2025-10-31 06:00:00+00:00,2025-10-31 00:00:00+00:00,2025-10,SON,ifs_49r1_hindcast,scored,,,0.0,48,48
development,42410099999,2025-11-08 06:00:00+00:00,2025-11-08 00:00:00+00:00,2025-11,SON,ifs_49r1_hindcast,scored,,,1.0,48,48
development,43128599999,2025-11-08 06:00:00+00:00,2025-11-08 00:00:00+00:00,2025-11,SON,ifs_49r1_hindcast,scored,,,12.0,46,46
development,43279099999,2025-11-08 06:00:00+00:00,2025-11-08 00:00:00+00:00,2025-11,SON,ifs_49r1_hindcast,scored,,,0.0,48,48
development,42410099999,2025-11-16 06:00:00+00:00,2025-11-16 00:00:00+00:00,2025-11,SON,ifs_49r1_hindcast,scored,,,0.0,48,48
development,43128599999,2025-11-16 06:00:00+00:00,2025-11-16 00:00:00+00:00,2025-11,SON,ifs_49r1_hindcast,scored,,,3.0,45,45
development,43279099999,2025-11-16 06:00:00+00:00,2025-11-16 00:00:00+00:00,2025-11,SON,ifs_49r1_hindcast,scored,,,0.0,48,48
development,42410099999,2025-11-24 06:00:00+00:00,2025-11-24 00:00:00+00:00,2025-11,SON,ifs_49r1_hindcast,scored,,,0.0,48,48
development,43128599999,2025-11-24 06:00:00+00:00,2025-11-24 00:00:00+00:00,2025-11,SON,ifs_49r1_hindcast,scored,,,5.0,46,46
development,43279099999,2025-11-24 06:00:00+00:00,2025-11-24 00:00:00+00:00,2025-11,SON,ifs_49r1_hindcast,scored,,,2.0,48,48
