valid_time,observed_c,model_input_c,imputed,source_time,source_age_hours
2024-11-12 07:00:00+00:00,29.0,29.0,False,2024-11-12 07:00:00+00:00,0
2024-11-12 08:00:00+00:00,29.0,29.0,False,2024-11-12 08:00:00+00:00,0
2024-11-12 09:00:00+00:00,30.4,30.4,False,2024-11-12 09:00:00+00:00,0
2024-11-12 10:00:00+00:00,29.0,29.0,False,2024-11-12 10:00:00+00:00,0
2024-11-12 11:00:00+00:00,28.0,28.0,False,2024-11-12 11:00:00+00:00,0
2024-11-12 12:00:00+00:00,26.0,26.0,False,2024-11-12 12:00:00+00:00,0
2024-11-12 13:00:00+00:00,24.0,24.0,False,2024-11-12 13:00:00+00:00,0
2024-11-12 14:00:00+00:00,26.0,26.0,False,2024-11-12 14:00:00+00:00,0
2024-11-12 15:00:00+00:00,23.7,23.7,False,2024-11-12 15:00:00+00:00,0
2024-11-12 16:00:00+00:00,23.0,23.0,False,2024-11-12 16:00:00+00:00,0
2024-11-12 17:00:00+00:00,22.0,22.0,False,2024-11-12 17:00:00+00:00,0
2024-11-12 18:00:00+00:00,22.5,22.5,False,2024-11-12 18:00:00+00:00,0
2024-11-12 19:00:00+00:00,22.0,22.0,False,2024-11-12 19:00:00+00:00,0
2024-11-12 20:00:00+00:00,22.0,22.0,False,2024-11-12 20:00:00+00:00,0
2024-11-12 21:00:00+00:00,21.0,21.0,False,2024-11-12 21:00:00+00:00,0
2024-11-12 22:00:00+00:00,21.0,21.0,False,2024-11-12 22:00:00+00:00,0
2024-11-12 23:00:00+00:00,20.0,20.0,False,2024-11-12 23:00:00+00:00,0
2024-11-13 00:00:00+00:00,20.5,20.5,False,2024-11-13 00:00:00+00:00,0
2024-11-13 01:00:00+00:00,21.0,21.0,False,2024-11-13 01:00:00+00:00,0
2024-11-13 02:00:00+00:00,22.0,22.0,False,2024-11-13 02:00:00+00:00,0
2024-11-13 03:00:00+00:00,25.0,25.0,False,2024-11-13 03:00:00+00:00,0
2024-11-13 04:00:00+00:00,26.0,26.0,False,2024-11-13 04:00:00+00:00,0
2024-11-13 05:00:00+00:00,27.0,27.0,False,2024-11-13 05:00:00+00:00,0
2024-11-13 06:00:00+00:00,30.2,30.2,False,2024-11-13 06:00:00+00:00,0
2024-11-13 07:00:00+00:00,28.0,28.0,False,2024-11-13 07:00:00+00:00,0
2024-11-13 08:00:00+00:00,29.0,29.0,False,2024-11-13 08:00:00+00:00,0
2024-11-13 09:00:00+00:00,30.2,30.2,False,2024-11-13 09:00:00+00:00,0
2024-11-13 10:00:00+00:00,29.0,29.0,False,2024-11-13 10:00:00+00:00,0
2024-11-13 11:00:00+00:00,27.0,27.0,False,2024-11-13 11:00:00+00:00,0
2024-11-13 12:00:00+00:00,26.0,26.0,False,2024-11-13 12:00:00+00:00,0
2024-11-13 13:00:00+00:00,24.0,24.0,False,2024-11-13 13:00:00+00:00,0
2024-11-13 14:00:00+00:00,23.0,23.0,False,2024-11-13 14:00:00+00:00,0
2024-11-13 15:00:00+00:00,23.6,23.6,False,2024-11-13 15:00:00+00:00,0
2024-11-13 16:00:00+00:00,22.0,22.0,False,2024-11-13 16:00:00+00:00,0
2024-11-13 17:00:00+00:00,22.0,22.0,False,2024-11-13 17:00:00+00:00,0
2024-11-13 18:00:00+00:00,21.7,21.7,False,2024-11-13 18:00:00+00:00,0
2024-11-13 19:00:00+00:00,21.0,21.0,False,2024-11-13 19:00:00+00:00,0
2024-11-13 20:00:00+00:00,21.0,21.0,False,2024-11-13 20:00:00+00:00,0
2024-11-13 21:00:00+00:00,21.0,21.0,False,2024-11-13 21:00:00+00:00,0
2024-11-13 22:00:00+00:00,20.0,20.0,False,2024-11-13 22:00:00+00:00,0
2024-11-13 23:00:00+00:00,21.0,21.0,False,2024-11-13 23:00:00+00:00,0
2024-11-14 00:00:00+00:00,20.0,20.0,False,2024-11-14 00:00:00+00:00,0
2024-11-14 01:00:00+00:00,20.0,20.0,False,2024-11-14 01:00:00+00:00,0
2024-11-14 02:00:00+00:00,23.0,23.0,False,2024-11-14 02:00:00+00:00,0
2024-11-14 03:00:00+00:00,24.6,24.6,False,2024-11-14 03:00:00+00:00,0
2024-11-14 04:00:00+00:00,26.0,26.0,False,2024-11-14 04:00:00+00:00,0
2024-11-14 05:00:00+00:00,28.0,28.0,False,2024-11-14 05:00:00+00:00,0
2024-11-14 06:00:00+00:00,30.0,30.0,False,2024-11-14 06:00:00+00:00,0
