station,month,observed_hours,report_types
42410099999,2024-01,711,FM12;FM15
42410099999,2024-02,659,FM12;FM15
42410099999,2024-03,711,FM12;FM15
42410099999,2024-04,686,FM12;FM15
42410099999,2024-05,697,FM12;FM15
42410099999,2024-06,687,FM12;FM15
42410099999,2024-07,701,FM12;FM15
42410099999,2024-08,694,FM12;FM15
42410099999,2024-09,660,FM12;FM15
42410099999,2024-10,704,FM12;FM15
42410099999,2024-11,709,FM12;FM15
42410099999,2024-12,727,FM12;FM15
42410099999,2025-01,725,FM12;FM15
42410099999,2025-02,655,FM12;FM15
42410099999,2025-03,706,FM12;FM15
42410099999,2025-04,610,FM12;FM15
42410099999,2025-05,729,FM12;FM15
42410099999,2025-06,697,FM12;FM15
42410099999,2025-07,729,FM12;FM15
42410099999,2025-08,685,FM12;FM15
42410099999,2025-09,664,FM12;FM15
42410099999,2025-10,739,FM12;FM15
42410099999,2025-11,719,FM12;FM15
42410099999,2025-12,743,FM12;FM15
42410099999,2026-01,738,FM12;FM15
42410099999,2026-02,668,FM12;FM15
42410099999,2026-03,731,FM12;FM15
42410099999,2026-04,719,FM15;FM94_1
42410099999,2026-05,743,FM15
42410099999,2026-06,718,FM15;FM94_1
42410099999,2026-07,741,FM15
42410099999,2026-08,743,FM15
42410099999,2026-09,16,FM15
43128599999,2024-01,723,FM15
43128599999,2024-02,658,FM15
43128599999,2024-03,700,FM15
43128599999,2024-04,683,FM15
43128599999,2024-05,693,FM15
43128599999,2024-06,657,FM15
43128599999,2024-07,640,FM15
43128599999,2024-08,648,FM15
43128599999,2024-09,635,FM15
43128599999,2024-10,691,FM15
43128599999,2024-11,644,FM15
43128599999,2024-12,674,FM15
43128599999,2025-01,664,FM15
43128599999,2025-02,598,FM15
43128599999,2025-03,678,FM15
43128599999,2025-04,687,FM15
43128599999,2025-05,706,FM15
43128599999,2025-06,680,FM15
43128599999,2025-07,703,FM15
43128599999,2025-08,655,FM15
43128599999,2025-09,608,FM15
43128599999,2025-10,707,FM15
43128599999,2025-11,690,FM15
43128599999,2025-12,715,FM15
43128599999,2026-01,713,FM15
43128599999,2026-02,654,FM15
43128599999,2026-03,722,FM15
43128599999,2026-04,712,FM15
43128599999,2026-05,739,FM15
43128599999,2026-06,707,FM15
43128599999,2026-07,739,FM15
43128599999,2026-08,742,FM15
43128599999,2026-09,16,FM15
43279099999,2024-01,744,FM12;FM15
43279099999,2024-02,694,FM12;FM15
43279099999,2024-03,740,FM12;FM15
43279099999,2024-04,710,FM12;FM15
43279099999,2024-05,738,FM12;FM15
43279099999,2024-06,720,FM12;FM15
43279099999,2024-07,721,FM12;FM15
43279099999,2024-08,734,FM12;FM15
43279099999,2024-09,704,FM12;FM15
43279099999,2024-10,740,FM12;FM15
43279099999,2024-11,713,FM12;FM15
43279099999,2024-12,731,FM12;FM15
43279099999,2025-01,740,FM12;FM15
43279099999,2025-02,660,FM12;FM15
43279099999,2025-03,735,FM12;FM15
43279099999,2025-04,719,FM12;FM15
43279099999,2025-05,741,FM12;FM15
43279099999,2025-06,714,FM12;FM15
43279099999,2025-07,736,FM12;FM15
43279099999,2025-08,692,FM12;FM15
43279099999,2025-09,660,FM12;FM15
43279099999,2025-10,742,FM12;FM15
43279099999,2025-11,718,FM12;FM15
43279099999,2025-12,744,FM12;FM15
43279099999,2026-01,735,FM12;FM15
43279099999,2026-02,668,FM12;FM15
43279099999,2026-03,730,FM12;FM15
43279099999,2026-04,720,FM15
43279099999,2026-05,744,FM15
43279099999,2026-06,720,FM15
43279099999,2026-07,743,FM12;FM15
43279099999,2026-08,744,FM15
43279099999,2026-09,16,FM15
